연령별,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년
20대,7.5,7.4,6.6,7.7,7.9,7.7,7.7,7.1,7,7.9,7.8,7.4,7.5,7.9
30대,3.6,3.2,2.9,3,3.1,3.3,3,3.2,3.1,3.6,3.5,3.4,3,3
40대,3.5,3,2,2.2,2.3,2.6,2.3,2,2.1,2.5,2.5,2.1,2.1,2
50대,3.3,2.8,2,2.2,2.3,2.5,2.2,2.1,2,2.5,2.4,2.1,2.1,1.9
60세이상,1.5,1.2,1.1,1,1.2,1.3,1.4,1.4,1.2,1.6,3,2.7,2.5,1.9
