번호,name,LAT,LON
133,인수동 535-204,37.6437376,127.0052217
134,미아동 164-1,37.6331445,127.0259384
135,미아동 223-12,37.6272221,127.0233545
136,번1동 411-28,37.635492,127.0295565
137,번1동 454-63,37.63673,127.0353675
138,번1동 471-113,37.6391581,127.0326806
139,번2동 148-7,37.6282141,127.0377527
140,번2동 442-6,37.6338668,127.0282184
141,번3동 244,37.6237112,127.0464498
142,삼양동 776-107,37.6245407,127.0168978
143,삼양동 791-1874,37.6241394,127.0128805
144,삼양동 791-662,37.6260737,127.0211856
145,송중동 134-38,37.6211186,127.0299572
146,송중동 258-221,37.6230407,127.0330724
147,송중동 8-1,37.6126993,127.0356833
148,송천동 320-28,37.621204,127.0227575
149,송천동 324-8,37.6200107,127.0255611
150,송천동 767-14,37.624005,127.021068
151,수유1동 472-83,37.6333986,127.0168251
152,수유1동 486-226,37.6292614,127.014889
153,수유1동 492-4,37.6334673,127.011539
154,수유2동 269-63,37.6477994,127.0166668
155,수유2동 270-84,37.6478091,127.0185524
156,수유2동 723-23,37.6460999,127.0239922
157,수유3동 1-19,37.6373403,127.0221894
158,수유3동 166-2,37.6436964,127.0277646
159,수유3동 35-1,37.6404301,127.0197831
160,우이동 167-13,37.6622147,127.0103295
161,우이동 61-34,37.6558148,127.0119358
162,인수동 299-4,37.6427374,127.0129479
163,인수동 522-1,37.638293,127.0060157
164,인수동 522-48,37.6396976,127.0099145
165,번2동 148-221,37.6274031,127.0350813
166,삼각산동 699-12 건너편,37.6193821,127.0183401
167,삼양동 233-4,37.6276211,127.021414
168,송천동 860-116,37.6182065,127.0242916
169,수유1동 486-1447,37.6270449,127.0137296
170,우이동 73-23 ,37.6511181,127.0120042
171,인수동 535-1,37.6448823,127.0071879
172,삼양동 839-260,37.6209261,127.0148675
173,미아동 209-8,37.6266302,127.0254457
174,송중동 258-167,37.6242026,127.0320301
175,송중동 3-28,37.6166322,127.035093
176,송천동 403-209,37.6167962,127.0250787
177,송천동 716,37.6194099,127.0227847
178,삼양동 791-1640 ,37.6249726,127.0166911
179,번1동 416-4,37.636867,127.0288145
180,번2동 521-61,37.6328262,127.0315146
181,번3동 186-1,37.627585,127.043003
182,수유1동 468-143,37.6320176,127.0145721
183,수유1동 468-232,37.6309307,127.0148956
184,수유2동 338-5,37.6425867,127.0168506
185,수유2동 710-13,37.6478585,127.0221199
186,수유3동 181-33,37.6429415,127.0244007
187,수유3동 31-71,37.6395197,127.0201582
188,수유동 291-185,37.6447334,127.0136645
189,인수동 359-12,37.6413417,127.0136814
190,인수동 409-70,37.6371544,127.0153042
191,우이동 21-16,37.6611615,127.0126178
192,번2동 148-379,37.6250627,127.0334879
193,번2동 148-380,37.6251029,127.0334284
194,번2동 148-445,37.6249412,127.0332385
195,삼양동 791-1622,37.625547,127.016336
196,삼양동 791-2161,37.6212746,127.0184896
197,삼양동 745-17,37.6219814,127.0194496
198,삼양동 791-1424,37.6261913,127.0156216
199,삼양동 791-1821,37.6247826,127.0119576
200,삼양동 791-3056,37.6259001,127.0131203
201,삼양동 791-2301,37.620545,127.0191723
202,삼양동 791-1058,37.6277797,127.0168627
203,미아동 159-12,37.6341651,127.0252363
204,미아동 228-6,37.6265371,127.0228678
205,미아동 302-69,37.6253424,127.0242656
206,미아동 258-695,37.6257635,127.0322395
207,미아동 222-10,37.6284333,127.0232696
208,미아동 258-23,37.6286532,127.0302945
209,미아동 258-329,37.6259864,127.0303067
210,미아동 214-37,37.6267713,127.0241333
211,송중동 136-64,37.6197582,127.030332
212,송중동 3-735,37.6204491,127.0322265
213,송중동 52-37,37.6125535,127.0329631
214,송중동 54-127,37.6142567,127.0314187
215,송중동 136-69,37.6198998,127.0308693
216,송중동 8-278,37.6160533,127.0385836
217,송중동 3-419,37.6190979,127.0350117
218,송천동 446-18,37.6156825,127.0258089
219,송천동 329-11,37.6181784,127.0270061
220,송천동 319-29,37.6211339,127.0252597
221,송천동 315-1,37.6228196,127.0253051
222,송천동 403-137,37.6176032,127.0230305
223,송천동 353-1,37.6191526,127.0242294
224,삼각산동 691-23,37.6189484,127.0193632
225,번1동 463-1,37.6404211,127.0293502
226,번1동 443-62,37.6357071,127.0271819
227,번1동 459-8,37.6384012,127.0319402
228,번1동 457-28,37.6382137,127.0337634
229,번2동 316-2,37.6296585,127.0385803
230,번2동 148-124,37.6269113,127.0360898
231,번2동 434-48,37.6344772,127.0328594
232,번2동 521-8,37.6334701,127.0307583
233,수유1동 486-271,37.6295129,127.0133274
234,수유1동 49-63,37.6335014,127.0201415
235,수유1동 472-235,37.6310646,127.0168408
236,수유1동 486-715,37.6275624,127.010027
237,수유2동 719-2,37.6471743,127.0244381
238,수유2동 334-1,37.6432562,127.0167606
239,수유2동 273-37,37.6460479,127.0171294
240,수유2동 703-14,37.6471759,127.0207406
241,수유3동 688-2,37.6448586,127.0247931
242,수유3동 192-73,37.6398422,127.0244718
243,수유3동 1-113,37.6377001,127.0215815
244,수유3동 130-104,37.6367708,127.0199808
245,수유동 291-134,37.6456994,127.0117873
246,우이동 161-34,37.6613333,127.011163
247,우이동 154-53,37.6611231,127.0086834
248,우이동 23-45,37.6601473,127.0125924
249,우이동 48-1,37.6581211,127.0129022
250,인수동 410-169,37.6378361,127.0141575
251,인수동 405-8,37.6360277,127.0160935
252,인수동 348-30,37.6419164,127.01582
253,인수동 296-30,37.6435254,127.0118543
254,인수동 525-9,37.6407454,127.0114781
255,미아동 124-1,37.6257945,127.0287531
256,미아동 217-84,37.629929,127.0228871
257,미아동 301-5,37.6246485,127.0234861
258,미아동 158-86,37.6341722,127.026101
259,번1동 461-99,37.638703,127.0295494
260,번2동 산23-14,37.6286817,127.0365468
261,번3동 138,37.6274347,127.0389332
262,번3동 138,37.6274347,127.0389332
263,미아동 836-97,37.6224899,127.017068
264,미아동 791-2835,37.6230986,127.0148796
265,미아동 791-435,37.6278776,127.0207508
266,미아동 791-2899,37.6237079,127.0144288
267,미아동 791-414,37.6277565,127.0194279
268,미아동 791-1899,37.6235185,127.0133714
269,미아동 791-1543,37.6247665,127.0136859
