구,년도,CCTV수,발생,검거,검거율
관악구,2014,928,6781,3701,54.57897065
서초구,2014,1407,5558,3122,56.17128463
강남구,2014,1325,8851,5262,59.4509095
서대문구,2014,836,4194,2588,61.70720076
용산구,2014,1346,3799,2340,61.59515662
동대문구,2014,1040,4363,2882,66.05546642
마포구,2014,375,5740,3136,54.63414634
영등포구,2014,542,7003,4072,58.14650864
성동구,2014,964,3582,2048,57.1747627
동작구,2014,900,3869,2312,59.75704316
광진구,2014,523,6268,3531,56.33375877
강북구,2014,411,4030,2806,69.62779156
중랑구,2014,552,5353,3259,60.88174855
강서구,2014,437,5289,3225,60.97560976
강동구,2014,529,5392,3285,60.9235905
구로구,2014,454,5389,2985,55.3906105
양천구,2014,1560,4642,2654,57.17363206
송파구,2014,515,8004,3982,49.75012494
노원구,2014,421,5312,3300,62.12349398
도봉구,2014,235,3124,1986,63.57234315
금천구,2014,635,3842,2434,63.35242061
