번호,name,LAT,LON
124,잠실본동 305-9,37.504884,127.0774801
125,신천동 21,37.5236456,127.1095256
126,잠실7동 50-4,37.509583,127.0726158
127,풍납동 88-77,37.5380543,127.1175846
128,풍납동 165-2,37.533785,127.117809
129,풍납동 403-2,37.5289281,127.116037
130,풍납동 388-8,37.5260657,127.1132774
131,거여동 136-106호 맞은편,37.4961289,127.1447194
132,거여동 5-3,37.4987847,127.1420815
133,거여동 13-19,37.496644,127.1406986
134,거여동 234-5,37.4931928,127.1496618
135,거여동 40-11,37.4936981,127.145424
136,마천동 308-23,37.492836,127.1536094
137,마천동 321-15,37.4927303,127.1550868
138,마천동 143-17,37.4979271,127.151354
139,마천동 24-1,37.5000258,127.1444407
140,마천동 128-50,37.4964428,127.1490069
141,마천동 159-221,37.4990994,127.1548881
142,방이동 127-7,37.5086767,127.1185673
143,방이동 133-3,37.5111422,127.1196683
144,방이동 134-6,37.5098131,127.118959
145,방이동 70-3,37.5136819,127.1102633
146,방이동 104-5,37.5122992,127.1119448
147,방이동 170,37.5141692,127.1191722
148,방이동 45-4,37.5162852,127.1149962
149,오금동 66-12,37.5028729,127.1353421
150,오금동 61번지 건너편,37.5016385,127.1355203
151,오금동 29-4 건너편,37.5076968,127.1318163
152,오금동 8 건너편,37.5089549,127.1306278
153,오금동 53-12,37.5023857,127.1330076
154,송파동 117-7,37.5064135,127.112822
155,송파동 20-11 건너편,37.5081153,127.1096505
156,송파동 118-11,37.5062694,127.113267
157,송파동 117-29,37.5065102,127.1125123
158,송파동 117-12,37.5055977,127.1121792
159,송파동 99,37.5027124,127.1134938
160,송파동 산 162-3,37.5048493,127.117389
161,석촌동 297-28,37.5011541,127.1098067
162,석촌동 244-4 건너편,37.5013381,127.1013363
163,석촌동 217-9,37.4995791,127.0971921
164,석촌동 158-11,37.5069984,127.1016275
165,석촌동 283 건너편,37.5033084,127.1054048
166,삼전동 118-4,37.5036394,127.0942366
167,삼전동 33-7,37.5029081,127.0873932
168,삼전동 53 건너편,37.5002062,127.0893894
169,삼전동 164-5,37.5009913,127.0947884
170,가락동 108-11,37.4914274,127.1252165
171,가락동 133-13,37.4930784,127.1267714
172,가락동 142-3,37.4959718,127.1261135
173,가락동 154-19 건너편,37.4971982,127.1285032
174,가락동 125-10,37.4921848,127.1263137
175,문정동 8-23,37.4900338,127.1272853
176,문정동 46-8,37.4879491,127.1228706
177,문정동 80-9,37.4819516,127.1285736
178,문정동 93 건너편,37.4844863,127.1283315
179,문정동 80-2,37.4810606,127.1277257
180,잠실동 301-6,37.5042054,127.0789772
181,잠실동 221-5,37.5083091,127.081269
182,잠실동 206-15,37.5090583,127.0845628
183,잠실동 199,37.5093441,127.0807397
184,잠실본동 작은도서관(정면진입구),37.5030793,127.0768931
185,잠실본동 작은도서관(좌측진입구),37.50315,127.07867
186,잠실본동 작은도서관(휴식공간),37.5030991,127.0788616
187,풍납동 76-1,37.5376809,127.1193825
188,방이동 141-2,37.5106676,127.1167018
189,방이동 146-9,37.5112646,127.1152927
190,석촌동 273-15,37.5003351,127.1071014
191,풍납동 482-9,37.5353767,127.1215875
192,풍납동 314,37.5282222,127.1108968
193,풍납동 126-18,37.537748,127.1171562
194,풍납동 141-19,37.5372914,127.1190936
195,거여동 128-3,37.4984974,127.1445523
196,거여동 550-2,37.4922088,127.1486179
197,마천동 211-45,37.4936828,127.1555111
198,마천동 368-7,37.4945246,127.1574922
199,마천동15-7,37.5022578,127.1435136
200,마천동 337-4,37.5013731,127.1540565
201,마천동 5-1,37.5019435,127.147928
202,방이동 143-4,37.5121043,127.1172266
203,방이동 191-14,37.5120319,127.124573
204,방이동 139,37.5117845,127.1178067
205,방이동 220,37.509077,127.1217668
206,방이동 160-9,37.5123953,127.1201558
207,방이동 116-20,37.5104281,127.1149812
208,방이동 169-10,37.5130215,127.1192067
209,오금동 132,37.5018254,127.1400333
210,오금동 123,37.5046121,127.1379004
211,오금동 55-4,37.5021429,127.1327035
212,오금동 150-2,37.5008563,127.1376913
213,송파동 36-2,37.50932,127.1075435
214,송파동 87-7,37.5045722,127.109001
215,송파동 175-3,37.5028819,127.1156551
216,송파동 92-8,37.5043308,127.1102431
217,송파동 136-2,37.509342,127.1127452
218,석촌동 184-8,37.5065513,127.1055324
219,석촌동 292-10,37.5028627,127.1085455
220,석촌동 13-13,37.5032296,127.098606
221,석촌동 153-8,37.5052064,127.1023371
222,삼전동 165-11,37.5008113,127.0935562
223,삼전동 182-10,37.5001321,127.0963188
224,삼전동 100-10,37.5039887,127.0915583
225,삼전동 46-8,37.5028193,127.0891826
226,가락동 72-11,37.49751,127.1205641
227,가락동 175-17,37.4963882,127.136444
228,가락동 152-18,37.4980744,127.1263015
229,가락동 46,37.4993995,127.1221372
230,가락동 135-24,37.4932269,127.12759
231,장지동 612-8,37.4698413,127.1257021
232,문정동 34-7,37.4876753,127.1264293
233,문정동 32-3,37.4883464,127.125889
234,문정동 96앞,37.4835424,127.1288313
235,문정동 139-16,37.490373,127.1342643
236,잠실동 327-6,37.5021808,127.0852146
237,잠실동 252,37.5070716,127.0897609
238,잠실동 311,37.5052882,127.081076
239,잠실동 322-1,37.5032562,127.0819915
240,잠실6동한신코아옆길,37.5168027,127.1043832
241,풍납동 234-6,37.5311682,127.116956
242,마천동 50-1,37.5017601,127.1487485
243,마천동 349-9,37.5002218,127.1531523
244,마천동 190-37,37.4969906,127.1535835
245,송파동 85-11,37.5057911,127.1094285
246,석촌동 161-3,37.5070053,127.1031922
247,삼전동 48-7,37.50323,127.0904955
248,잠실나루역,37.5206689,127.1038388
249,방이동 103-21,37.5133109,127.1123476
250,가락동 144-15,37.4954198,127.1254909
251,풍납동 225-14,37.5334657,127.1156993
252,거여동 181-298,37.4962888,127.1467343
253,거여동 258-144,37.4926839,127.1429907
254,거여동 291-1,37.4908691,127.1471403
255,마천동 283-33,37.4937012,127.1569778
256,마천동 340-10 ,37.5005122,127.1541926
257,마천동118-19 ,37.4982289,127.147446
258,방이동65-4,37.5132216,127.1081516
259,방이동 192-6,37.5126153,127.1236999
260,방이동 127-4,37.5081244,127.1193777
261,오금동126,37.503517,127.1374697
262,오금동 110,37.5030071,127.142432
263,송파동 95-3,37.5034934,127.1102727
264,석촌동 77-4 ,37.5043669,127.1037468
265,삼전동 70,37.4995148,127.092849
266,삼전동 172-2,37.4986891,127.0948793
267,가락동 181-15,37.4950724,127.1346798
268,문정동 93-19,37.4844354,127.129488
269,잠실동 236-4 ,37.5062874,127.0854435
270,신천동 9,37.5207567,127.0989177
271,잠실동 341,37.5018232,127.083701
272,삼전동 67-1,37.4998681,127.0918672
273,송파동 47-3,37.5089428,127.1108556
274,삼전동 6,37.5057159,127.0901385
275,장지동 565-5,37.4702167,127.1297686
276,방이동 224-19,37.506588,127.122263
277,송파동 111-44,37.5058322,127.1114805
278,석촌동 252-14,37.4993372,127.1026687
279,잠실동 206-3,37.5091938,127.0841828
280,잠실동 19-4,37.5159936,127.0784707
281,마천동 162-15,37.4994956,127.1523031
282,마천동 146-7,37.4983944,127.1514057
283,마천동 135-5,37.4971384,127.1500546
